CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
04.821.041/0001-08,METALFRIO SOLUTIONS S/A,Metalfrio,20613,FRIO3
92.690.783/0001-09,METALURGICA GERDAU SA,Metalúrgica Gerdau,8656,"GOAU3, GOAU4"
27.093.558/0001-15,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.",Mills,22012,MILS3
67.620.377/0001-14,MINERVA S/A,Minerva,20931,"BEEF3, BEEEF11"
07.882.930/0001-65,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Mitre Realty,24902,MTRE3
02.846.056/0001-97,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,Motiva Infraestrutura De Mobilidade,18821,CCRO3
12.049.631/0001-84,MOURA DUBEUX ENGENHARIA S/A,Moura Dubeux,21067,MDNE3
21.314.559/0001-66,MOVIDA PARTICIPAÇÕES S.A.,Movida,23825,MOVI3
26.659.061/0001-59,MPM CORPÓREOS S.A.,Espaçolaser,25445,ESPA3
08.343.492/0001-20,MRV ENGENHARIA E PARTICIPAÇÕES S/A,MRV,20915,MRVE3
07.816.890/0001-53,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Multiplan,20982,MULT3
32.785.497/0001-97,NATURA & CO HOLDING S.A.,Natura & Co Holding,24783,NTCO3
01.083.200/0001-18,NEOENERGIA S.A,Neoenergia,15539,NEOE3
10.139.870/0001-08,NEOGRID PARTICIPACÕES S.A.,Neogrid,25399,NGRD3
08.613.550/0001-98,NEXPE PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,Brasil Brokers,21180,"BBRK3, NEXP3"
51.128.999/0001-90,NUTRIPLANT INDUSTRIA E COMÉRCIO S/A,Nutriplant,21334,NUTR3
09.114.805/0001-30,OCEANPACT SERVIÇOS MARÍTIMOS S.A.,OceanPact,25534,OPCT3
76.535.764/0001-43,OI S.A. - EM RECUPERAÇÃO JUDICIAL,Oi,11312,"OIBR3, OIBR4"
12.104.241/0004-02,ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.,Oncoclínicas,26123,ONCO3
11.421.994/0001-36,ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,Orizon,25550,ORVR3
20.258.278/0001-70,OUROFINO S.A.,Ourofino Saúde Animal,23507,OFSA3
02.365.069/0001-44,PADTEC HOLDING S.A.,Padtec,18414,PDTC3
60.398.369/0004-79,PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,Paranapanema,9393,PMAM3
83.475.913/0001-91,PBG S/A,Portobello,13773,PTBL3
02.950.811/0001-89,PDG REALTY S.A. EMPREEND E PARTICIPACOES,PDG Realty,20478,PDGR3
18.328.118/0001-09,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,Pet Center Comércio E Participações,25089,PETZ3
03.342.704/0001-30,PETRORECÔNCAVO S.A.,PetroRecôncavo,25780,RECV3
33.000.167/0001-01,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,Petrobras,9512,"PETR3, PETR4"
24.230.275/0001-80,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,Plano&Plano,25070,PLPL3
02.149.205/0001-69,PORTO SEGURO SA,Porto Seguro,16659,PSSA3
81.243.735/0001-48,POSITIVO TECNOLOGIA S.A.,Positivo,20362,POSI3
18.593.815/0001-97,PRINER SERVIÇOS INDUSTRIAIS S.A.,Priner,24236,PRNR3
10.629.105/0001-68,PRIO S.A.,PetroRio,22187,PRIO3
45.453.214/0001-51,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Profarma,20346,PFRM3
11.992.680/0001-93,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Qualicorp,22497,QUAL3
35.791.391/0001-94,QUALITY SOFTWARE S.A.,Quality Software,23302,QUSW3
